ID                                    NAME                                 VERSION     STATE   FLAGS  OS       TYPE          PUBDATE
70182d84-a30f-11e4-833a-533091d7da25  steelapp-2000L-SAF-STX               14.3.0      active  P      smartos  zone-dataset  2015-01-23
3694d926-a310-11e4-bf79-5b3a7949ade7  steelapp-2000M-SAF-STX               14.3.0      active  P      smartos  zone-dataset  2015-01-23
c8c59f3c-a343-11e4-8e39-9360169bcaae  steelapp-developer                   14.3.0      active  P      smartos  zone-dataset  2015-01-23
be16f02b-900d-40ab-b40e-c90033989adf  ubuntu-certified-12.04               20150127    active  P      linux    zvol          2015-01-27
02dbab66-a70a-11e4-819b-b3dc41b361d6  centos-7                             20150128    active  P      linux    zvol          2015-01-28
5becfd74-a70d-11e4-93a6-470507be237c  centos-6                             20150128    active  P      linux    zvol          2015-01-28
5f41692e-a70d-11e4-8c2d-afc6735144dc  debian-7                             20150128    active  P      linux    zvol          2015-01-28
ee4e7106-df94-6d8e-9ccd-f15ddb17e317  ScaleArc-MySQL-Enterprise-1CPU-1GB   20150202    active  IP     linux    zvol          2015-02-02
25b28286-c2b8-c26d-c524-e3255a82526b  ScaleArc-MySQL-Enterprise-5CPU-10GB  20150202    active  IP     linux    zvol          2015-02-03
f57a825d-cdb6-627f-ad68-fcf1cfc14510  ScaleArc-MySQL-Platinum-2CPU-2GB     20150202    active  IP     linux    zvol          2015-02-03
56f21d14-1e77-c1ac-a59c-f7ad1cd8311e  ScaleArc-MySQL-Enterprise-2CPU-2GB   20150202    active  IP     linux    zvol          2015-02-03
907f5ca6-ea4c-e372-bb13-9fd4180ebf6e  ScaleArc-MySQL-Platinum-5CPU-32GB    20150202    active  IP     linux    zvol          2015-02-03
f4bc1350-bff0-60b1-bef5-f9edbf821680  ScaleArc-MSSQL-Enterprise-2CPU-2GB   20150202    active  IP     linux    zvol          2015-02-03
bfdacd56-b7a3-11e4-8070-fb32c76d612e  percona-cluster                      14.3.0      active  P      smartos  zone-dataset  2015-02-18
c864f104-624c-43d2-835e-b49a39709b6b  ubuntu-certified-14.04               20150225.2  active  P      linux    zvol          2015-02-25
415e39e6-26f1-48c4-85b1-9697066fc1a9  ubuntu-certified-12.04               20150225.1  active  P      linux    zvol          2015-02-25
fa50f94e-c1ba-11e4-abff-b7b4bd888e8f  minimal-32-lts                       14.4.0      active  P      smartos  zone-dataset  2015-03-03
5a4ba06a-c1bb-11e4-af0b-4be0ce4ce04c  minimal-64-lts                       14.4.0      active  P      smartos  zone-dataset  2015-03-03
bede6ee0-c1bb-11e4-93b9-43c22a71f00a  minimal-multiarch-lts                14.4.0      active  P      smartos  zone-dataset  2015-03-03
b1b72a76-c1bc-11e4-849e-3bc862098cfd  base-32-lts                          14.4.0      active  P      smartos  zone-dataset  2015-03-03
c02a2044-c1bd-11e4-bd8c-dfc1db8b0182  base-64-lts                          14.4.0      active  P      smartos  zone-dataset  2015-03-03
e6c33e24-c1be-11e4-a968-37d204f6e644  base-multiarch-lts                   14.4.0      active  P      smartos  zone-dataset  2015-03-03
0ed924a4-cd78-11e4-927e-0f62886502f8  cassandra                            14.4.0      active  P      smartos  zone-dataset  2015-03-18
3abc27e6-cd79-11e4-ad17-ab914a388d7c  couchdb                              14.4.0      active  P      smartos  zone-dataset  2015-03-18
39f29a9e-cd82-11e4-bd38-0fed3261fa5f  elasticsearch                        14.4.0      active  P      smartos  zone-dataset  2015-03-18
92d33a7e-cd87-11e4-824f-f7dac5075dea  ghost                                14.4.0      active  P      smartos  zone-dataset  2015-03-18
fe2bb3a6-ce49-11e4-b951-f715b1f58603  java                                 14.4.0      active  P      smartos  zone-dataset  2015-03-19
2c34b2ae-d18b-11e4-b39e-4b9b4a78f836  magento                              14.4.0      active  P      smartos  zone-dataset  2015-03-23
5683089c-d18d-11e4-b067-9f59180479b9  mongodb                              14.4.0      active  P      smartos  zone-dataset  2015-03-23
7a50b1da-d22c-11e4-8ffe-071989ea571f  centos-6                             20150324    active  P      linux    zvol          2015-03-24
3269b9fa-d22e-11e4-afcc-2b4d49a11805  centos-7                             20150324    active  P      linux    zvol          2015-03-24
d53928c8-d260-11e4-8f38-a70310430fdb  nginx                                14.4.0      active  P      smartos  zone-dataset  2015-03-24
d2a9926e-d265-11e4-be3e-c72371a408ae  nodejs                               14.4.0      active  P      smartos  zone-dataset  2015-03-24
2d1df15c-d2ef-11e4-b9dd-1f436f2c33c9  debian-7                             20150325    active  P      linux    zvol          2015-03-25
f4c39d9e-d2f2-11e4-bef3-bf7870572bb8  percona                              14.4.0      active  P      smartos  zone-dataset  2015-03-25
143b7f8c-d2f5-11e4-8457-b7e1d2aef782  percona-cluster                      14.4.0      active  P      smartos  zone-dataset  2015-03-25
a07575a6-d2f6-11e4-8c15-135ec29aa6a1  redis                                14.4.0      active  P      smartos  zone-dataset  2015-03-25
8777db28-d302-11e4-8cf2-8793bd757e0f  freebsd-10                           20150325    active  P      bsd      zvol          2015-03-25
0c8b73f4-d3f5-11e4-bcc3-dbc3c8ad2b43  rails                                14.4.0      active  P      smartos  zone-dataset  2015-03-26
35fd4be4-d482-11e4-ac6a-3f7c8ff62775  memcached                            14.4.0      active  P      smartos  zone-dataset  2015-03-27
b02f3f06-d484-11e4-b63a-2f6df1143527  apache                               14.4.0      active  P      smartos  zone-dataset  2015-03-27
fe2b86f4-d486-11e4-8446-4bf28894e502  postgresql                           14.4.0      active  P      smartos  zone-dataset  2015-03-27
a1b99a94-d488-11e4-bd6f-af00cfe224df  neo4j                                14.4.0      active  P      smartos  zone-dataset  2015-03-27
a49df206-d6e4-11e4-86fa-afc46f9b8078  standard64                           14.4.0      active  P      smartos  zone-dataset  2015-03-30
